filename,document_id,revision,folder_type,subfolder,local_path
D46673 Use Related Risks and Applied Mitigators Review Report rev03.pdf,D46673,3,Risk Management,Risk Reviews,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Reviews\D46673 Use Related Risks and Applied Mitigators Review Report rev03.pdf
D46704 HAL  4.0 Accessory and Component List Rev 1.0.docx.pdf,D46704,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D46704 HAL  4.0 Accessory and Component List Rev 1.0.docx.pdf
D46706 HAL  4.0 Feature Comparison Chart Rev 1.0 .docx.pdf,D46706,1,Regulatory,Change Comparison Worksheet,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Change Comparison Worksheet\D46706 HAL  4.0 Feature Comparison Chart Rev 1.0 .docx.pdf
D46948 HAL 5.0 IMG Continuous kV-CBCT measurements Report 2019_08_07.pptx.pdf,D46948,,Technical Assessment,Feasibility Studies,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Technical Assessment\Feasibility Studies\D46948 HAL 5.0 IMG Continuous kV-CBCT measurements Report 2019_08_07.pptx.pdf
D47174 HAL 4.0 – Clinical Mode – UI Specification Document Rev 04.docx.pdf,D47174,4,Design Input Specification,UX Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\UX Documents\D47174 HAL 4.0 – Clinical Mode – UI Specification Document Rev 04.docx.pdf
D47176 HAL Treatment Delivery Platform 4.0 User Research Report Rev 01.docx.pdf,D47176,1,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D47176 HAL Treatment Delivery Platform 4.0 User Research Report Rev 01.docx.pdf
D47394 HAL Usage Model Rev 5.pdf,D47394,5,Design Output Specification,Specifications,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Specifications\D47394 HAL Usage Model Rev 5.pdf
D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,Regulatory,Applicable Standards,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Applicable Standards\D47457 HAL 4.0 APS Record Rev 04.docx.pdf
D48458 Halcyon 4.0 ServiceMode SyDD Rev 6.0.doc.pdf,D48458,6,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D48458 Halcyon 4.0 ServiceMode SyDD Rev 6.0.doc.pdf
D48516 HAL 4.0 Clinical Evaluation Plan Rev 01.pdf,D48516,1,Regulatory,International Submission Dossier,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\International Submission Dossier\D48516 HAL 4.0 Clinical Evaluation Plan Rev 01.pdf
D48806 Hal 4.0 Applicable Product Standards Review log Rev 01.docx.pdf,D48806,1,Regulatory,Applicable Standards,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Applicable Standards\D48806 Hal 4.0 Applicable Product Standards Review log Rev 01.docx.pdf
D49189 HAL4.0 Manufacturing Plan Rev 08.pdf,D49189,8,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D49189 HAL4.0 Manufacturing Plan Rev 08.pdf
"D49195 HAL 4.0 Component Design Description (CDD) kV Imager Support Bracket, Rev 01.doc.pdf",D49195,1,Design Output Specification,Design Descriptions,"C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D49195 HAL 4.0 Component Design Description (CDD) kV Imager Support Bracket, Rev 01.doc.pdf"
D49700 HAL 4.0 External Product Evaluation Plan_Pre-Clinical Evaluation Rev 3.0.docx.pdf,D49700,3,Design Input Specification,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\D49700 HAL 4.0 External Product Evaluation Plan_Pre-Clinical Evaluation Rev 3.0.docx.pdf
D51185 HAL 4.0 Elaboration Phase RHA Review Report rev02.pdf,D51185,2,Risk Management,Risk Analyses,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Analyses\D51185 HAL 4.0 Elaboration Phase RHA Review Report rev02.pdf
D51403 HAL 4.0 - Physics Mode - UI Specification Document Rev03.docx.pdf,D51403,3,Design Input Specification,UX Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\UX Documents\D51403 HAL 4.0 - Physics Mode - UI Specification Document Rev03.docx.pdf
D51641 Dragon KV collimator make or buy decision review report support document Rev 1.0.pptx.pdf,D51641,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D51641 Dragon KV collimator make or buy decision review report support document Rev 1.0.pptx.pdf
D51969 HAL 4.0 Change Request 1 Rev 01.docx.pdf,D51969,1,Design Changes,Change Requests,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Changes\Change Requests\D51969 HAL 4.0 Change Request 1 Rev 01.docx.pdf
D52196-Rev 0.1-HAL4.0 kV Source Assembling OSMR.docx.pdf,D52196,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D52196-Rev 0.1-HAL4.0 kV Source Assembling OSMR.docx.pdf
D52197-HSE-ENU-0.1 KV SOURCE ASSY.docx.pdf,D52197,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D52197-HSE-ENU-0.1 KV SOURCE ASSY.docx.pdf
D52222 HAL 4.0 Change Request 2 rev 01.pdf,D52222,1,Design Changes,Change Requests,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Changes\Change Requests\D52222 HAL 4.0 Change Request 2 rev 01.pdf
D52223 HAL 4.0 Process Controls and Critical Components List rev03.pdf,D52223,3,Risk Management,Process FMEAs,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Process FMEAs\D52223 HAL 4.0 Process Controls and Critical Components List rev03.pdf
D53708 Marketing Claims Library HAL 4.0 Rev 4.0.docx.pdf,D53708,4,Design Input Specification,Product Requirement Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\Product Requirement Documents\D53708 Marketing Claims Library HAL 4.0 Rev 4.0.docx.pdf
D53715-HSE-ENU-0.1_KV_COLLIMATOR_ASSY.pdf,D53715,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D53715-HSE-ENU-0.1_KV_COLLIMATOR_ASSY.pdf
D53716 Rev0.3 HAL4.0 KV collimator motion test WI.pdf,D53716,3,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D53716 Rev0.3 HAL4.0 KV collimator motion test WI.pdf
D53809-Tools Design and Development-kV collimator assembly tooling Rev 01.docx.pdf,D53809,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D53809-Tools Design and Development-kV collimator assembly tooling Rev 01.docx.pdf
D53810 Rev02 HAL4.0 KV collimator motion test tooling TDD.pdf,D53810,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D53810 Rev02 HAL4.0 KV collimator motion test tooling TDD.pdf
D54246-Rev 0.1-HAL4.0 KV Collimator Assemblig OSMR.docx.pdf,D54246,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D54246-Rev 0.1-HAL4.0 KV Collimator Assemblig OSMR.docx.pdf
D54247 HAL4.0 KV collimator motion test OSMR Rev0.2.pdf,D54247,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D54247 HAL4.0 KV collimator motion test OSMR Rev0.2.pdf
D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf,D54550,5,Design Validation,Verification and Validation Plans,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Verification and Validation Plans\D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf
D54564 HAL4.0 Clinical Mode Formative Usability Evaluation (Nov 2020) Rev01.docx.pdf,D54564,1,Design Input Specification,UX Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\UX Documents\D54564 HAL4.0 Clinical Mode Formative Usability Evaluation (Nov 2020) Rev01.docx.pdf
D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,Regulatory,Regulatory Plans,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Regulatory Plans\D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf
D55236 HAL4.0 Beijing Mfg Practice review report Rev02.docx.pdf,D55236,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D55236 HAL4.0 Beijing Mfg Practice review report Rev02.docx.pdf
D55677 HAL 4.0 Physics Mode User Research Report - Sept 2020 Rev 1.docx.pdf,D55677,1,Design Input Specification,UX Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\UX Documents\D55677 HAL 4.0 Physics Mode User Research Report - Sept 2020 Rev 1.docx.pdf
D56734 HAL 4.0 Technical Specifications Rev 3.0.doc.pdf,D56734,3,Design Output Specification,Specifications,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Specifications\D56734 HAL 4.0 Technical Specifications Rev 3.0.doc.pdf
D56791 HAL4.0 DFM Checklist Rev07.pdf,D56791,7,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D56791 HAL4.0 DFM Checklist Rev07.pdf
